Input_binomial	Source_List	Input_binomial_plus_author	Daphne_binomial	Daphne_binomial_plus_author	aggregate	Genus	Family
Abies alba	Germany	Abies alba Mill.	Abies_alba	Abies alba Mill.		Abies	Pinaceae
Abies alba	NL	Abies alba Miller	Abies_alba	Abies alba Mill.		Abies	Pinaceae
Abies alba	Switzerland	Abies alba Mill.	Abies_alba	Abies alba Mill.		Abies	Pinaceae
Abies grandis	NL	Abies grandis Lindley	Abies_grandis	Abies grandis Lindley		Abies	Pinaceae
Abies nordmanniana	NL	Abies nordmanniana (Steven) Spach	Abies_nordmanniana	Abies nordmanniana (Steven) Spach		Abies	Pinaceae
Abies veitchii	NL	Abies veitchii Lindley	Abies_veitchii	Abies veitchii Lindley		Abies	Pinaceae
Abutilon theophrasti	Germany	Abutilon theophrasti Medik.	Abutilon_theophrasti	Abutilon theophrasti Medik.		Abutilon	Malvaceae
Abutilon theophrasti	NL	Abutilon theophrasti Medicus	Abutilon_theophrasti	Abutilon theophrasti Medik.		Abutilon	Malvaceae
Abutilon theophrasti	Switzerland	Abutilon theophrasti Medik.	Abutilon_theophrasti	Abutilon theophrasti Medik.		Abutilon	Malvaceae
Acacia dealbata	Switzerland	Acacia dealbata Link	Acacia_dealbata	Acacia dealbata Link		Acacia	Fabaceae
Acaena novae-zelandiae	GB	Acaena novae-zelandiae Kirk	Acaena_novae-zelandiae	Acaena novae-zelandiae Kirk		Acaena	Rosaceae
Acalypha virginica	Switzerland	Acalypha virginica L.	Acalypha_virginica	Acalypha virginica L.		Acalypha	Euphorbiaceae
Acer campestre	GB	Acer campestre L.	Acer_campestre	Acer campestre L.		Acer	Sapindaceae
Acer campestre	Germany	Acer campestre L.	Acer_campestre	Acer campestre L.		Acer	Sapindaceae
Acer campestre	NL	Acer campestre L.	Acer_campestre	Acer campestre L.		Acer	Sapindaceae
Acer campestre	Switzerland	Acer campestre L.	Acer_campestre	Acer campestre L.		Acer	Sapindaceae
Acer monspessulanum	Germany	Acer monspessulanum L.	Acer_monspessulanum	Acer monspessulanum L.		Acer	Sapindaceae
Acer monspessulanum	Switzerland	Acer monspessulanum L.	Acer_monspessulanum	Acer monspessulanum L.		Acer	Sapindaceae
Acer negundo	Germany	Acer negundo L.	Acer_negundo	Acer negundo L.		Acer	Sapindaceae
Acer negundo	NL	Acer negundo L.	Acer_negundo	Acer negundo L.		Acer	Sapindaceae
Acer negundo	Switzerland	Acer negundo L.	Acer_negundo	Acer negundo L.		Acer	Sapindaceae
Acer opalus	Germany	Acer opalus Mill.	Acer_opalus	Acer opalus Mill.		Acer	Sapindaceae
Acer opalus	Switzerland	Acer opalus Mill.	Acer_opalus	Acer opalus Mill.		Acer	Sapindaceae
Acer platanoides	GB	Acer platanoides L.	Acer_platanoides	Acer platanoides L.		Acer	Sapindaceae
Acer platanoides	Germany	Acer platanoides L.	Acer_platanoides	Acer platanoides L.		Acer	Sapindaceae
Acer platanoides	NL	Acer platanoides L.	Acer_platanoides	Acer platanoides L.		Acer	Sapindaceae
Acer platanoides	Switzerland	Acer platanoides L.	Acer_platanoides	Acer platanoides L.		Acer	Sapindaceae
Acer pseudoplatanus	GB	Acer pseudoplatanus L.	Acer_pseudoplatanus	Acer pseudoplatanus L.		Acer	Sapindaceae
Acer pseudoplatanus	Germany	Acer pseudoplatanus L.	Acer_pseudoplatanus	Acer pseudoplatanus L.		Acer	Sapindaceae
Acer pseudoplatanus	NL	Acer pseudoplatanus L.	Acer_pseudoplatanus	Acer pseudoplatanus L.		Acer	Sapindaceae
Acer pseudoplatanus	Switzerland	Acer pseudoplatanus L.	Acer_pseudoplatanus	Acer pseudoplatanus L.		Acer	Sapindaceae
Aceras anthropophorum	GB	Aceras anthropophorum (L.) W. T. Aiton	Aceras_anthropophorum	Aceras anthropophorum (L.) W. T. Aiton		Aceras	Orchidaceae
Aceras anthropophorum	Germany	Aceras anthropophorum (L.) W. T. Aiton	Aceras_anthropophorum	Aceras anthropophorum (L.) W. T. Aiton		Aceras	Orchidaceae
Aceras anthropophorum	NL	Aceras anthropophorum (L.) Aiton fil.	Aceras_anthropophorum	Aceras anthropophorum (L.) W. T. Aiton		Aceras	Orchidaceae
Aceras anthropophorum	Switzerland	Aceras anthropophorum (L.) W. T. Aiton	Aceras_anthropophorum	Aceras anthropophorum (L.) W. T. Aiton		Aceras	Orchidaceae
Achillea atrata	Germany	Achillea atrata L.	Achillea_atrata	Achillea atrata L.		Achillea	Asteraceae
Achillea atrata	Switzerland	Achillea atrata L.	Achillea_atrata	Achillea atrata L.		Achillea	Asteraceae
Achillea clavenae	Switzerland	Achillea clavenae L.	Achillea_clavennae	Achillea clavennae L.		Achillea	Asteraceae
Achillea clavennae	Germany	Achillea clavennae L.	Achillea_clavennae	Achillea clavennae L.		Achillea	Asteraceae
Achillea collina	Germany	Achillea collina Becker ex Rchb.	Achillea_collina	Achillea collina Becker ex Rchb.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea collina	Switzerland	Achillea collina Rchb.	Achillea_collina	Achillea collina Becker ex Rchb.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea crithmifolia	Germany	Achillea crithmifolia Waldst. & Kit.	Achillea_crithmifolia	Achillea crithmifolia Waldst. & Kit.		Achillea	Asteraceae
Achillea erba-rotta	Switzerland	Achillea erba-rotta All. s.str.	Achillea_erba-rotta	Achillea erba-rotta All. s.str.		Achillea	Asteraceae
Achillea macrophylla	Germany	Achillea macrophylla L.	Achillea_macrophylla	Achillea macrophylla L.		Achillea	Asteraceae
Achillea macrophylla	Switzerland	Achillea macrophylla L.	Achillea_macrophylla	Achillea macrophylla L.		Achillea	Asteraceae
Achillea millefolium	GB	Achillea millefolium L.	Achillea_millefolium	Achillea millefolium L.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea millefolium	Germany	Achillea millefolium L.	Achillea_millefolium	Achillea millefolium L.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea millefolium	NL	Achillea millefolium L.	Achillea_millefolium	Achillea millefolium L.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea millefolium	Switzerland	Achillea millefolium L. s.str.	Achillea_millefolium	Achillea millefolium L.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea nana	Switzerland	Achillea nana L.	Achillea_nana	Achillea nana L.		Achillea	Asteraceae
Achillea nobilis	Germany	Achillea nobilis L.	Achillea_nobilis	Achillea nobilis L.		Achillea	Asteraceae
Achillea nobilis	Switzerland	Achillea nobilis L.	Achillea_nobilis	Achillea nobilis L.		Achillea	Asteraceae
Achillea pannonica	Germany	Achillea pannonica Scheele	Achillea_pannonica	Achillea pannonica Scheele	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea pratensis	Germany	Achillea pratensis Saukel & R. Länger	Achillea_pratensis	Achillea pratensis Saukel & R. Länger	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea ptarmica	GB	Achillea ptarmica L.	Achillea_ptarmica	Achillea ptarmica L.		Achillea	Asteraceae
Achillea ptarmica	Germany	Achillea ptarmica L.	Achillea_ptarmica	Achillea ptarmica L.		Achillea	Asteraceae
Achillea ptarmica	NL	Achillea ptarmica L.	Achillea_ptarmica	Achillea ptarmica L.		Achillea	Asteraceae
Achillea ptarmica	Switzerland	Achillea ptarmica L.	Achillea_ptarmica	Achillea ptarmica L.		Achillea	Asteraceae
Achillea roseoalba	Germany	Achillea roseoalba Ehrend.	Achillea_roseoalba	Achillea roseoalba Ehrend.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea roseoalba	Switzerland	Achillea roseoalba Ehrend.	Achillea_roseoalba	Achillea roseoalba Ehrend.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea salicifolia	Germany	Achillea salicifolia Besser	Achillea_salicifolia	Achillea salicifolia Besser		Achillea	Asteraceae
Achillea setacea	Germany	Achillea setacea Waldst. & Kit.	Achillea_setacea	Achillea setacea Waldst. & Kit.		Achillea	Asteraceae
Achillea setacea	Switzerland	Achillea setacea Waldst. & Kit.	Achillea_setacea	Achillea setacea Waldst. & Kit.		Achillea	Asteraceae
Achillea stricta	Switzerland	Achillea stricta Gremli	Achillea_stricta	Achillea stricta Gremli	Achillea_millefolium_agg.	Achillea	Asteraceae
Achillea tomentosa	Switzerland	Achillea tomentosa L.	Achillea_tomentosa	Achillea tomentosa L.	Achillea_millefolium_agg.	Achillea	Asteraceae
Achnatherum calamagrostis	Germany	Achnatherum calamagrostis (L.) P. Beauv.	Achnatherum_calamagrostis	Achnatherum calamagrostis (L.) P. Beauv.		Achnatherum	Poaceae
Achnatherum calamagrostis	Switzerland	Achnatherum calamagrostis (L.) P. Beauv.	Achnatherum_calamagrostis	Achnatherum calamagrostis (L.) P. Beauv.		Achnatherum	Poaceae
Acinos alpinus	Germany	Acinos alpinus (L.) Moench	Acinos_alpinus	Acinos alpinus (L.) Moench		Acinos	Lamiaceae
Acinos alpinus	Switzerland	Acinos alpinus (L.) Moench	Acinos_alpinus	Acinos alpinus (L.) Moench		Acinos	Lamiaceae
Acinos arvensis	Germany	Acinos arvensis (Lam.) Dandy	Acinos_arvensis	Acinos arvensis (Lam.) Dandy		Acinos	Lamiaceae
Acinos arvensis	Switzerland	Acinos arvensis (Lam.) Dandy	Acinos_arvensis	Acinos arvensis (Lam.) Dandy		Acinos	Lamiaceae
Aconitum altissimum	Switzerland	Aconitum altissimum Mill.	Aconitum_lycoctonum	Aconitum lycoctonum (Rchb. ex Spreng.) Nyman	Aconitum_lycoctonum_agg.	Aconitum	Ranunculaceae
Aconitum anthora	Switzerland	Aconitum anthora L.	Aconitum_anthora	Aconitum anthora L.		Aconitum	Ranunculaceae
Aconitum compactum	Switzerland	Aconitum compactum (Rchb.) Gáyer	Aconitum_napellus	Aconitum napellus L.	Aconitum_napellus_agg.	Aconitum	Ranunculaceae
Aconitum degenii	Germany	Aconitum degenii (Arcang.) Mucher	Aconitum_degenii	Aconitum degenii (Arcang.) Mucher		Aconitum	Ranunculaceae
Aconitum lamarckii	Switzerland	Aconitum lamarckii Rchb.	Aconitum_lamarckii	Aconitum lamarckii Rchb.	Aconitum_lycoctonum_agg.	Aconitum	Ranunculaceae
