Node	Phylogeny_references	Age	Age_references
Vascular_plants			678, 583
Lycopodiophyta		383.85	684, 589
Lycopodiales	684, 1	351	684, 265
N4		313	684
N6		258	684
Lycopodium		76	684
Isoetopsida		334.65	684, 589
Selaginellales		310	684
Isoetales	540, 261	309	684
Crown_euphyllophytes		413.1	TimeTree (Equisetum – Aster)
Pteridophyta	580, 508, 125 	364.4	506
Psilotopsida		305.6	506
Ophioglossaceae	243	162	507
Botrychium		57.8	122
N36		5	605
N48		359.6	506
N49		354	506
Equisetaceae	227	92.45	129, 596
Hypochaete		19.2	129
N53		13	129
Equisetum		18.7	129
N67		6.7	129
Leptosporangiatae		323.1	506
N75		286.2	506
N76		272.9	506
Hymenophyllales	251	162	507
Hymenophyllum		91	251
Gleicheniales		263.3	506
N84		227	507
N87		266.3	506
Schizaeales		211.6	506
N90		135.29	507
Core_Leptosporangiates		220	506
Salviniales		173.3	506
Marsileaceae	433	93.02	507
Salviniaceae	410	89	507
Azolla		16.3	410
N105		210.8	506
N108		182.86	507
N109		154.82	507
N114		159	507
Polypodiales		175.8	506
N123		144.5	506
Pteridaceae	"562;"	97.41	561
N127		92	561
N133		73.73	367
Eupolypods		104.7	506
Eupolypods_II	537	94.5	506
N140		86.1	507
Aspleniaceae	636, 560		
N177		30	479
Woodsia	537		
N196		74.1	Timetree (Blechnum – Matteuccia)
Eupolypods_I		93.6	506
Dryopteridaceae	359	71	568
Dryopteris		35.9	568
N213		27	568
Dryopteris_filix-mas_agg.		1	568
Polystichum		6	568
N237		47.67	561
N239		43.9	561
Spermatophyta	22	355	373
Gymnosperms		366	517
Cycadales		283	517
N251		346	517
N253		298	517
Pinaceae	95	201	699
N256		176	699
N257		156	699
Pinus	661, 205	90.5	21, 356
Pinus.subgen.		28	206
N264		5.5	206
N272		5	651
Picea	511	45	60
N287		93	206, 356
Larix	565	53.65	675
N293		114	660
Tsuga		42.26	244
N303		274	517
N304		257	517
N309		227	TimeTree (Taxus - Thuja)
Cupressaceae	189, 388	170	389
N312		123.5	388, 389
Thuja		40	475, 389
N316		110.8	388, 389
N318		92	388, 389
N320		63.85	388, 389
Juniperus		50.01	388, 389
N322		4.9	388
Gnetales		159	517
N330		138	517
N333	588	174.9	371
N335		167.3	371
Nymphaeales		114.3	TimeTree (Nypheaceae – Cabombaceae)
Nymphaeaceae	51	56	685, 343, 716, 53
Nuphar		40	364
Nymphaea		17.85	364, 53
N349		159.5	371
Austrobaileyales		131.3	Timetree (Schisandraceae – Austrobaileyaceae)
N355		150.1	371
Magnoliids		146.6	371
N359		142	170
Magnoliales		113	170
N365		63	170
N368		82	170
Laurales		111	170
N376		39	170
N381		96	170
Canellales		99	170
Piperales		132	170
Aristolochiaceae		108	685
N394		96	170
N398		147.8	371
Monocotyledonae		134	20
N401		131	20
Alismatales		128	20
Araceae	73	115	279, 443
N421		86	520
N423		53.5	520, 437
N425		22.5	520, 384, 437
Arum		12.5	384, 153
N430		125	20
Tofieldiaceae		90	685, 279
N434		108	20
N435		96	20
N436		84.49	20, 98
Hydrocharitaceae	616	70.26	279, 98
Hydrilloideae		44.21	98
Najas		10.89	98
N444		34.3	98
N451		43.25	98
N453		4.12	98
N455		0.98	98
Alismataceae	277, 344, 99	67.2	279, 99
N462		52.7	99
Sagittaria		27.71	99
N467		34.52	99
N469		26.36	99
N471		24.04	99
N472		2.68	99
Alisma	627	9.61	99
N480		99	20
N484		83	20
Juncaginaceae		52	279
N490		75	20
N498		47	20
Zosteraceae	505	38.5	300
Potamogetonaceae	682, 266, 357, 267	23	279
N552		126	20
N554		124	20
Dioscoreales		123	20
Narthecium_ossifragum	409		
N562		115	20
Pandanales		109	20
N570		86	20
N573		124	20
Liliales		116	20
N578		110	20
N579		106	20
Melanthiaceae	736	70	646, 279
Veratrum		13.8	352
Paris_quadrifolia	282		
N587		72	20
Colchicaceae	481	7	127
N596		86	20
N597		71	20
Liliaceae	158, 719	58.5	646, 279
Lilioideae		28	646
Lilieae		12.5	268
Lilium		6.3	268
Tulipeae		21.5	TimeTree (Tulipa – Lloydia)
N613		11.3	TimeTree (Tulipa – Erythronium)
N636		122	20
Asparagales		118	20
Orchidaceae	78, 91, 77, 221	80.5	510, 232
N640		74.5	510, 232
N642		72.5	510, 232
N644		64	510, 232
Orchidoideae		53	510, 232
Orchideae	"504, 2, 32, 37;"		
N648		18	510, 232
Dactylorhiza	246, 489		
Nigritella	247		
Ophrys	585		
Spiranthinae		39	510, 232
Epidendroideae	536, 180	51	510, 232
N761		27	510, 232
Higher_Epidendroideae		42	510, 232
N795		107	20
N804		110	20
N808		104	20
N810		101	20
Iridaceae	516, 686, 216, 687, 689, 688	64	217, 216
N812		50	217, 216
N836		21.25	217, 216
Gladiolus		15.45	634
N843		21	216
N845		16.5	217, 216
N858		97	20
N860		91	20
N861		50	TimeTree (Hemerocallis – Asphodelus)
Asphodelus_albus	92		
N873		60	66, 230
Alliaceae	639, 181, 442, 350		
Amerallium		27	230
N880		11	230
N885		8.5	230
N888		55	230
N889		32	230
N891		0.6	230
N894		37	230
N895		2.1	230
N898		33	230
N899		27	230
N900		4.2	230
N925		15	230
N927		13	230
Amaryllidaceae	223, 407	8.4	213
Narcissus		8	546
N950		46.5	213
N951		43	Timetree (Agave - Muscari), 213
Hyacinthaceae	484, 379, 396	25	213
N957	485	18	213
Agavaceae	307	20	213, 581
Anthericum		6.89	581
N1008		36.5	Timetree (Laxmanniaceae - Ruscus), 213
Asparagaceae	94, 307 		
N1012		30	213
Nolinoideae_		16.4	213, 408
N1019		9.6	408
N1020		3	408
Polygonatum		5	408
N1029		118	20
N1033		116	20
Poales		112	20
N1035		70	213
Typhaceae	306	59.5	213, 20
N1052		85	213
N1054		81	213
N1056		74	213, 20
