Ref-No.	Citation
1	Aagaard, S. M. D., J. C. Vogel, N. Wikström (2009). Resolving maternal relationships in the clubmoss genus Diphasiastrum (Lycopodiaceae). Taxon 58(3): 835-848.
2	Aceto, S., P. Caputo, S. Cozzolino, L. Gaudio, A. Moretti (1999). Phylogeny and evolution of Orchis and allied genera based on ITS DNA variation: Morphological gaps and molecular continuity. Molecular Phylogenetics and Evolution 13: 67-76.
3	Ahangarian, S., S. Kazempour Osaloo, A. A. Maassoumi (2007). Molecular phylogeny of the tribe Hedysareae with special reference to Onobrychis (Fabaceae) as inferred from nrDNA ITS sequences. Iran J. Bot 13: 64-74.
4	Ainouche, A. K. and R. J. Bayer (1999). Phylogenetic relationships in Lupinus (Fabaceae: Papilionoideae) based on internal transcribed spacer sequences (ITS) of nuclear ribosomal DNA. American Journal of Botany 86: 590-607.
5	Ainouche, M. L., P. M. Fortune, A. Salmon, C. Parisod, M. A. Grandbastien, K. Fukunaga, M. Ricou, M. T. Misset (2009). Hybridization, polyploidy and invasion: lessons from Spartina (Poaceae). Biological Invasions 11: 1159-1173.
6	Ajani, Y., A. Ajani, J. M. Cordes, M. F. Watson, S. R. Downie (2008). Phylogenetic analysis of nrDNA ITS sequences reveals relationships within five groups of Iranian Apiaceae subfamily Apioideae. Taxon 57(2): 383-401.
7	Alarcon, M. L., C. Roquet, J. J. Aldasoro (2011). Evolution of Pollen/Ovule Ratios and Breeding System in Erodium (Geraniaceae). Systematic Botany 36(3): 661-676.
8	Albach, D. C. and M. W. Chase (2004). Incongruence in Veroniceae (Plantaginaceae): evidence from two plastid and a nuclear ribosomal DNA region. Molecular Phylogenetics and Evolution 32(1): 183-197.
9	Albach, D. C., M. M. Martinez-Ortega, M. A. Fischer, M. W. Chase (2004). A new classification of the tribe Veroniceae - problems and a possible solution. Taxon 53(2): 429-452.
10	Albach, D. C., H. M. Meudt, B. Oxelman (2005). Piecing together the new Plantaginaceae. American Journal of Botany 92(2): 297-315.
11	Alice, L. A. and C. S. Campbell (1999). Phylogeny of Rubus (Rosaceae) based on nuclear ribosomal DNA internal transcribed spacer region sequences. American Journal of Botany 86: 81-97.
12	Aliscioni, S. S., L. M. Giussani, F. O. Zuloaga, E. A. Kellogg (2003). A molecular phylogeny of Panicum (Poaceae : Paniceae): Tests of monophyly and phylogenetic placement within the Panicoideae. American Journal of Botany 90(5): 796-821.
13	Allan, G. J. and J. M. Porter (2000). Tribal delimitation and phylogenetic relationships of Loteae and Coronilleae (Faboideae: Fabaceae) with special reference to Lotus: evidence from nuclear ribosomal ITS sequences. American Journal of Botany 87: 1871-1881.
14	Alvarez-Fernandez, I. A., J. F. Aguilar, J. L. Panero, G. N. Feliner (2001). A phylogenetic analysis of Doronicum (Asteraceae, Senecioneae) based on morphological, nuclear ribosomal (ITS), and chloroplast (trnL-F) evidence. Molecular Phylogenetics and Evolution 20: 41-64.
15	Anderberg, A. A. (2009). Inuleae. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 667-680.
16	Anderberg, A. A., P. Eldenäs, R. J. Bayer, M. Englund (2005). Evolutionary relationships in the Asteraceae tribe Inuleae (incl. Plucheeae) evidenced by DNA sequences of ndhF; with notes on the systematic positions of some aberrant genera. Organisms Diversity & Evolution 5(2): 135-146.
17	Anderberg, A. A., U. Manns, M. Källersjö (2007). Phylogeny and floral evolution of the Lysimachieae (Ericales, Myrsinaceae): evidence from ndhF sequence data. Willdenowia 37: 407-421.
18	Anderberg, A. A., B. Stahl, M. Källersjö (1998). Phylogenetic relationships in the Primulales inferred from  rbc L sequence data. Plant Systematics and Evolution 211(1-2): 93-102.
19	Anderson, C. L., K. Bremer, E. M. Friis (2005). Dating phylogenetically basal eudicots using rbcL sequences and multiple fossil reference points. American Journal of Botany 92(10): 1737-1748.
20	Anderson, C. L. and T. Janßen (2009). Monocots. The Timetree of Life. S. B. Hedges and S. Kumar. Oxford, Oxford University Press: 203-212.
21	Ann, W., J. Syring, D. S. Gernandt, A. Liston, R. Cronn (2007). Fossil calibration of molecular divergence infers a moderate mutation rate and recent radiations for Pinus. Molecular Biology and Evolution 24(1): 90-101.
22	APG III (2009). An update of the Angiosperm Phylogeny Group classification for the orders and families of flowering plants: APG III. Botanical Journal of the Linnean Society 161(2): 105-121.
23	Applequist, W. L. and R. S. Wallace (2001). Phylogeny of the portulacaceous cohort based on ndhF sequence data. Systematic Botany 26(2): 406-419.
24	Arakaki, M. n., P.-A. Christin, R. Nyffeler, A. Lendel, U. Eggli, R. M. Ogburn, E. Spriggs, M. J. Moore, E. J. Edwards (2011). Contemporaneous and recent radiations of the world's major succulent plant lineages. Proceedings of the National Academy of Sciences 108(20): 8379-8384.
25	Avino, M., G. Tortoriello, P. Caputo (2009). A phylogenetic analysis of Dipsacaceae based on four DNA regions. Plant Systematics and Evolution 279(1-4): 69-86.
26	Bailey, C. D., M. A. Koch, M. Mayer, K. Mummenhoff, S. L. O'Kane, S. I. Warwick, M. D. Windham, I. A. Al-Shehbaz (2006). Toward a global phylogeny of the Brassicaceae. Molecular Biology and Evolution 23(11): 2142-2160.
27	Baldwin, B. G. (2009). Heliantheae alliance. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 689-711.
28	Baldwin, B. G., B. L. Wessa, J. L. Panero (2002). Nuclear rDNA evidence for major lineages of helenioid Heliantheae (Compositae). Systematic Botany 27(1): 161-198.
29	Ballard, H. E., K. J. Sytsma, R. R. Kowal (1998). Shrinking the violets: Phylogenetic relationships of infrageneric groups in Viola (Violaceae) based on internal transcribed spacer DNA sequences. Systematic Botany 23: 439-458.
30	Baltisberger, M. and J. Waser-Walter (2009). Kreuzbarkeit des invasiven Geranium purpureum mit dem einheimischen Geranium robertianum (Geraniaceae). Botanica Helvetica 119(1): 63-67.
31	Bastida, J. M., J. M. Alcantara, P. J. Rey, P. Vargas, C. M. Herrera (2010). Extended phylogeny of Aquilegia: the biogeographical and ecological patterns of two simultaneous but contrasting radiations. Plant Systematics and Evolution 284(3-4): 171-185.
32	Bateman, R. M., P. M. Hollingsworth, J. Preston, L. Yi-Bo, A. M. Pridgeon, M. W. Chase (2003). Molecular phylogenetics and evolution of Orchidinae and selected Habenariinae (Orchidaceae). Botanical Journal of the Linnean Society 142(1): 1-40.
33	Baum, D. A., K. J. Sytsma, P. C. Hoch (1994). A phylogenetic analysis of Epilobium (Onagraceae) based on nuclear ribosomal DNA sequences. Systematic Botany 19(3): 363-388.
34	Beilstein, M. A., N. S. Nagalingum, M. D. Clements, S. R. Manchester, S. Mathews (2010). Dated molecular phylogenies indicate a Miocene origin for Arabidopsis thaliana. Proceedings of the National Academy of Sciences 107(43): 18724-18728.
35	Bell, C. D. and M. J. Donoghue (2005). Dating the dipsacales: Comparing models, genes, and evolutionary implications. American Journal of Botany 92(2): 284-296.
36	Bell, C. D. and M. J. Donoghue (2005). Phylogeny and biogeography of Valerianaceae (Dipsacales) with special reference to the South American valerians. Organisms Diversity & Evolution 5(2): 147-159.
37	Bellusci, F., G. Pellegrino, A. M. Palermo, A. Musacchio (2008). Phylogenetic relationships in the orchid genus Serapias L. based on noncoding regions of the chloroplast genome. Molecular Phylogenetics and Evolution 47(3): 986-991.
38	Bendiksby, M., A. K. Brysting, L. Thorbek, G. Gussarova, O. Ryding (2011). Molecular phylogeny and taxonomy of the genus Lamium L. (Lamiaceae): Disentangling origins of presumed allotetraploids. Taxon 60(4): 986-1000.
39	Bendiksby, M., L. Thorbek, A. C. Scheen, C. Lindqvist, O. Ryding (2011). An updated phylogeny and classification of Lamiaceae subfamily Lamioideae. Taxon 60(2): 471-484.
40	Bennett, J. R. and S. Mathews (2006). Phylogeny of the parasitic plant family Orobanchaceae inferred from phytochrome A. American Journal of Botany 93(7): 1039-1051.
41	Berry, P. E., W. J. Hahn, K. J. Sytsma, J. C. Hall, A. Mast (2004). Phylogenetic relationships and biogeography of Fuchsia (Onagraceae) based on noncoding nuclear and chloroplast DNA data. American Journal of Botany 91(4): 601-614.
42	Besnard, G., A. M. Muasya, F. Russier, E. H. Roalson, N. Salamin, P. A. Christin (2009). Phylogenomics of C-4 Photosynthesis in Sedges (Cyperaceae): Multiple Appearances and Genetic Convergence. Molecular Biology and Evolution 26(8): 1909-1919.
43	Besnard, G., R. Rubio de Casas, P.-A. Christin, P. Vargas (2009). Phylogenetics of Olea (Oleaceae) based on plastid and nuclear ribosomal DNA sequences: Tertiary climatic shifts and lineage differentiation times. Annals of Botany 104(1): 143-160.
44	Bittkau, C. and H. P. Comes (2009). Molecular inference of a Late Pleistocene diversification shift in Nigella s. lat. (Ranunculaceae) resulting from increased speciation in the Aegean archipelago. Journal of Biogeography 36(7): 1346-1360.
45	Blattner, F. R. (2004). Phylogenetic analysis of Hordeum (Poaceae) as inferred by nuclear rDNA ITS sequences. Molecular Phylogenetics and Evolution 33(2): 289-299.
46	Blattner, F. R. and J. W. Kadereit (1999). Morphological evolution and ecological diversification of the forest-dwelling poppies (Papaveraceae: Chelidonioideae) as deduced from a molecular phylogeny of the ITS region. Plant Systematics and Evolution 219(3-4): 181-197.
47	Bleeker, W., A. Franzke, K. Pollmann, A. H. D. Brown, H. Hurka (2002). Phylogeny and biogeography of Southern Hemisphere high-mountain Cardamine species (Brassicaceae). Australian Systematic Botany 15(4): 575-581.
48	Bleeker, W., C. Weber-Sparenberg, H. Hurka (2002). Chloroplast DNA variation and biogeography in the genus Rorippa Scop. (Brassicaceae). Plant Biology 4(1): 104-111.
49	Bohs, L. and R. G. Olmstead (1997). Phylogenetic relationships in Solanum (Solanaceae) based on ndhF sequences. Systematic Botany 22(1): 5-17.
50	Bolmgren, K. and B. Oxelman (2004). Generic limits in Rhamnus L. s.l. (Rhamnaceae) inferred from nuclear and chloroplast DNA sequence phylogenies. Taxon 53(2): 383-390.
51	Borsch, T., K. W. Hilu, J. H. Wiersema, C. Loehne, W. Barthlott, V. Wilde (2007). Phylogeny of Nymphaea (Nymphaeaceae): Evidence from substitutions and microstructural changes in the chloroplast trnT-trnF region. International Journal of Plant Sciences 168(5): 639-671.
52	Borsch, T., N. Korotkova, T. Raus, W. Lobin, C. Löhne (2009). The petD group II intron as a species level marker: utility for tree inference and species identification in the diverse genus Campanula (Campanulaceae). Willdenowia 39: 7-33.
53	Borsch, T., C. Löhne, M. S. Mbaye, J. Wiersema (2011). Towards a complete species tree of Nymphaea: shedding further light on subg. Brachyceras and its relationship to the Australian water-lilies. Telopea 13(1-2): 193-217.
54	Borsic, I., A. Susanna, S. Bancheva, N. Garcia-Jacas (2011). Centaurea sect. Cyanus: nuclear phylogeny, biogeography and life-form evolution. International Journal of Plant Sciences 172(2): 238-249.
55	Bortiri, E., S. H. Oh, F. Y. Gao, D. Potter (2002). The phylogenetic utility of nucleotide sequences of sorbitol 6-phosphate dehydrogenase in  Prunus  (Rosaceae). American Journal of Botany 89(10): 1697-1708.
56	Bortiri, E., S. H. Oh, J. G. Jiang, S. Baggett, A. Granger, C. Weeks, M. Buckingham, D. Potter, D. E. Parfitt (2001). Phylogeny and systematics of  Prunus  (Rosaceae) as determined by sequence analysis of ITS and the chloroplast trnL-trnF spacer DNA. Systematic Botany 26(4): 797-807.
57	Bouchenak-Khelladi, Y., N. Salamin, V. Savolainen, F. Forest, M. van der Bank, M. W. Chase, T. R. Hodkinson (2008). Large multi-gene phylogenetic trees of the grasses (Poaceae): Progress towards complete tribal and generic level sampling. Molecular Phylogenetics and Evolution 47(2): 488-505.
58	Bouchenak-Khelladi, Y., G. A. Verboom, V. Savolainen, T. R. Hodkinson (2010). Biogeography of the grasses (Poaceae): a phylogenetic approach to reveal evolutionary history in geographical space and geological time. Botanical Journal of the Linnean Society 162(4): 543-557.
59	Boucher, F. C., W. Thuiller, C. Roquet, R. Douzet, S. Aubert, N. Alvarez, S. Lavergne (2012). Reconstructing the origins of high-alpine niches and cushin life form in the genus Androsace s.l. (Primulaceae). Evolution 66: 1255–1268.
60	Bouillé, M. and J. Bousquet (2005). Trans-species shared polymorphisms at orthologous nuclear gene loci among distant species in the conifer Picea (Pinaceae): implications for the long-term maintenance of genetic diversity in trees. American Journal of Botany 92(1): 63-73.
61	Bowman, J. L., H. Bruggemann, J. Y. Lee, K. Mummenhoff (1999). Evolutionary changes in floral structure within Lepidium L. (Brassicaceae). International Journal of Plant Sciences 160: 917-929.
62	Bräuchler, C., H. Meimberg, G. Heubl (2004). Molecular phylogeny of the genera Digitalis L. and Isoplexis (Lindley) Loudon (Veronicaceae) based on ITS- and trnL-F sequences. Plant Systematics and Evolution 248(1-4): 111-128.
63	Bräuchler, C., H. Meimberg, G. Heubl (2010). Molecular phylogeny of Menthinae (Lamiaceae, Nepetoideae, Mentheae) - Taxonomy, biogeography and conflicts. Molecular Phylogenetics and Evolution 55(2): 501-523.
64	Bremer, B. (2009). Asterids. The Timetree of Life. S. B. Hedges and S. Kumar, Oxford University Press: 177-187.
65	Bremer, B. and T. Eriksson (2009). Time Tree of Rubiaceae: Phylogeny and Dating the Family, Subfamilies, and Tribes. International Journal of Plant Sciences 170(6): 766-793.
66	Bremer, K. (2000). Early creataceous lineages of monocot flowering plants. Proceedings of the National Academy of Sciences of the United States of America 97  (9): 4707-4711.
67	Bremer, K., E. M. Friis, B. Bremer (2004). Molecular phylogenetic dating of asterid flowering plants shows early Cretaceous diversification. Systematic Biology 53(3): 496-505.
68	Brouillet, L., T. K. Lowrey, L. E. Urbatsch, V. Karaman-Castro, G. Sancho, S. Wagstaff, J. C. Semple (2009). Astereae. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 589-629.
69	Brysting, A. K., C. Mathiesen, T. Marcussen (2011). Challenges in polyploid phylogenetic reconstruction: A case story from the arctic-alpine Cerastium alpinum complex. Taxon 60(2): 333-347.
70	Brysting, A. K., B. Oxelman, K. T. Huber, V. Moulton, C. Brochmann (2007). Untangling complex histories of genome mergings in high polyploids. Systematic Biology 56(3): 467-476.
71	Buerki, S., P. P. Lowry, N. Alvarez, S. G. Razafimandimbison, P. Kupfer, M. W. Callmander (2010). Phylogeny and circumscription of Sapindaceae revisited: molecular sequence data, morphology and biogeography support recognition of a new family, Xanthoceraceae. Plant Ecology and Evolution 143(2): 148-159.
72	Burke, J. M., A. Sanchez, K. Kron, M. Luckow (2010). Placing the woody tropical genera of Polygonaceae: a hypothesis of character evolution and phylogeny. American Journal of Botany 97(8): 1377-1390.
73	Cabrera, L. I., G. A. Salazar, M. W. Chase, S. J. Mayo, J. Bogner, P. Davila (2008). Phylogenetic relationships of aroids and duckweeds (Araceae) inferred from coding and noncoding plastid DNA. American Journal of Botany 95(9): 1153-1165.
74	Calvino, C. I. and S. R. Downie (2007). Circumscription and phylogeny of Apiaceae subfamily Saniculoideae based on chloroplast DNA sequences. Molecular Phylogenetics and Evolution 44(1): 175-191.
75	Calvino, C. I., S. G. Martinez, S. R. Downie (2008). The evolutionary history of Eryngium (Apiaceae, Saniculoideae): Rapid radiations, long distance dispersals, and hybridizations. Molecular Phylogenetics and Evolution 46(3): 1129-1150.
76	Calvino, C. I., P. M. Tilney, B. E. van Wyk, S. R. Downie (2006). A molecular phylogenetic study of southern African Apiaceae. American Journal of Botany 93(12): 1828-1847.
77	Cameron, K. M. (2004). Utility of plastid psaB gene sequences for investigating intrafamilial relationships within Orchidaceae. Molecular Phylogenetics and Evolution 31(3): 1157-1180.
78	Cameron, K. M., M. W. Chase, W. M. Whitten, P. J. Kores, D. C. Jarrell, V. A. Albert, T. Yukawa, H. G. Hills, D. H. Goldman (1999). A phylogenetic analysis of the Orchidaceae: evidence from rbcL nucleotide sequences. American Journal of Botany 86: 208-224.
79	Campbell, C. S., M. J. Donoghue, B. G. Baldwin, M. F. Wojciechowski (1995). Phylogenetic relationships in Maloideae (Rosaceae): evidence from sequences of the internal transcribed spacers of nuclear ribosomal DNA and its congruence with morphology. American Journal of Botany 82(7): 903-918.
80	Campbell, C. S., R. C. Evans, D. R. Morgan, T. A. Dickinson, M. P. Arsenault (2007). Phylogeny of subtribe Pyrinae (formerly the Maloideae, Rosaceae): Limited resolution of a complex evolutionary history. Plant Systematics and Evolution 266(1-2): 119-145.
81	Carlsen, T., W. Bleeker, H. Hurka, R. Elven, C. Brochmann (2009). Biogeography and phylogeny of Cardamine (Brassicaceae). Annals of the Missouri Botanical Garden 96(2): 215-236.
82	Carlson, S. E., H. P. Linder, M. J. Donoghue (2012). The historical biogeography of Scabiosa (Dipsacaceae): implications for Old World plant disjunctions. Journal of Biogeography: no-no.
83	Carlson, S. E., V. Mayer, M. J. Donoghue (2009). Phylogenetic relationships, taxonomy, and morphological evolution in Dipsacaceae (Dipsacales) inferred by DNA sequence data. Taxon 58(4): 1075-1091.
84	Carolan, J. C., I. L. I. Hook, M. W. Chase, J. W. Kadereit, T. R. Hodkinson (2006). Phylogenetics of Papaver and related genera based on DNA sequences from ITS nuclear ribosomal DNA and plastid trnL intron and trnL-F intergenic spacers. Annals of Botany 98(1): 141-155.
85	Catalan, P. and R. G. Olmstead (2000). Phylogenetic reconstruction of the genus Brachypodium P. Beauv. (Poaceae) from combined sequences of chloroplast ndhF gene and nuclear ITS. Plant Systematics and Evolution 220: 1-19.
86	Catalan, P., P. Torrecilla, J. A. L. Rodriguez, R. G. Olmstead (2004). Phylogeny of the festucoid grasses of subtribe Loliinae and allies (Poeae, Pooideae) inferred from ITS and trnL-F sequences. Molecular Phylogenetics and Evolution 31(2): 517-541.
87	Cecchi, L., R. Gabbrielli, M. Arnetoli, C. Gonnelli, A. Hasko, F. Selvi (2010). Evolutionary lineages of nickel hyperaccumulation and systematics in European Alysseae (Brassicaceae): evidence from nrDNA sequence data. Annals of Botany 106(5): 751-767.
88	Chacón S, M. I., B. Pickersgill, D. G. Debouck, J. S. Arias (2007). Phylogeographic analysis of the chloroplast DNA variation in wild common bean (Phaseolus vulgaris L.) in the Americas. Plant Systematics and Evolution 266(3): 175-195.
89	Chalupska, D., H. Y. Lee, J. D. Faris, A. Evrard, B. Chalhoub, R. Haselkorn, P. Gornicki (2008). Acc homoeoloci and the evolution of wheat genomes. Proceedings of the National Academy of Sciences 105(28): 9691-9696.
90	Chan, K. F. and M. Sun (1997). Genetic diversity and relationships detected by isozyme and RAPD analysis of crop and wild species of Amaranthus. Theoretical and Applied Genetics 95: 865-873.
91	Chase, J. M., J. F. Feudenstein, K. M. Cameron (2003). DNA data and Orchidaceae systematics: a new phylogenetic classification. Orchid conservation. K. W. Dixon, S. P. Kell, R. L. Barrett and P. J. Crobb. Kota Kinabula, Sabah, Natural History Publications: 69-89.
92	Chase, M. W., A. Y. De Bruijn, A. V. Cox, G. Reeves, P. J. Rudall, M. A. T. Johnson, L. E. Eguiarte (2000). Phylogenetics of Asphodelaceae (Asparagales): an analysis of plastid  rbcL and  trnL-F DNA sequences. Annals of Botany 86: 935-951.
93	Chase, M. W., C. M. Morton, J. A. Kallunki (1999). Phylogenetic relationships of Rutaceae: A cladistic analysis of the subfamilies using evidence from rbcL and atpB sequence variation. American Journal of Botany 86(8): 1191-1199.
