PlantGroup,Specie,TTO,PCoA1,PCoA2,PCoA3,PCoA4,Pot,RII_hl_AMF,RII_hl_nonAMF,RII_hl_total_hyphae,WSA%,WSA%_RII,Shoot_RII,LDMC_RII,SLA_RII,LeafN_RII,LeafCN_RII,RootsCN_RII,SoilCN_RII,pH_RII,EC_RII,NO3_RII,PO4_RII,RootN_RII,SoilN_RII,SoilC_RII,RootC_RII,leafC_RII,FLORES_RII,Rootmass_RII,R:S_RII,diameter_RII,LogDiam_RII,RTD_RII,logRTD_RII,SRL_RII,logSRL_RII,SRSA_RII,logSRSA_RII,RII_Hamf,sqrtRootmass_RII
Grasses,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,6,-0.79,-0.85,-0.81,21.81,-0.42,0.08,0.04,-0.19,-0.31,0.31,0.01,0.02,0.01,-0.06,-0.73,-0.14,-0.08,0.01,0.04,-0.04,0.02,#DIV/0!,-0.2,-0.28,0.26,0.01,-0.42,-0.09,-0.14,-0.04,0.15,0.03,,-0.09
Grasses,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,7,0.83,0.82,0.82,78.47,0.19,-0.1,0.13,-0.29,-0.35,0.27,0.18,-0.03,0.01,-0.17,-0.55,0.02,-0.16,0.03,0,0.05,-0.06,#DIV/0!,0.19,0.29,0.23,0.01,-0.36,-0.07,-0.12,-0.03,0.13,0.03,,0.11
Grasses,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,8,-0.31,-0.29,-0.3,32.65,-0.24,-0.04,0.15,-0.19,-0.44,0.27,-0.07,0.01,0.01,,,,-0.13,-0.01,0,-0.17,-0.18,#DIV/0!,-0.09,-0.05,0.13,0.01,-0.14,-0.03,-0.15,-0.04,0,0,,-0.03
Grasses,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,9,-0.5,-0.39,-0.47,33.92,-0.22,-0.04,0.17,-0.21,-0.31,0.3,-0.61,0,0,-0.23,-0.96,-0.03,0.57,0.03,0.03,-0.04,0.01,#DIV/0!,-0.63,-0.61,0.02,0,-0.03,0,-0.04,-0.01,-0.01,0,,-0.34
Grasses,G_Anthoxanthum,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,10,-0.46,0.11,-0.33,20.81,-0.44,-0.02,0.1,-0.23,-0.31,0.29,-0.44,0.03,0.01,-0.14,-0.62,0.1,0.43,0.02,0.05,0.01,-0.01,#DIV/0!,-0.03,-0.01,-0.02,0,-0.03,-0.01,-0.01,0,0.01,0,,-0.01
Grasses,G_Arrhenateru,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,116,-0.31,-0.03,-0.26,40.12,-0.15,-0.05,0,0.03,-0.19,0.15,0.04,0.08,0.03,0.03,-0.82,-0.02,-0.15,-0.02,0.07,-0.1,0.01,#DIV/0!,0.35,0.39,0.19,0.01,-0.31,-0.06,-0.11,-0.03,0.09,0.01,,0.19
Grasses,G_Arrhenateru,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,117,-0.64,-0.69,-0.65,24.18,-0.38,-0.16,0.07,-0.04,-0.25,0.06,,0.01,0.02,-0.05,-0.91,-0.2,,-0.02,0,,-0.15,#DIV/0!,0.2,0.34,0.07,0.01,-0.36,-0.07,0.19,0.06,0.27,0.04,,0.11
Grasses,G_Arrhenateru,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,118,0.11,0.53,0.23,47.9,-0.06,-0.27,0.07,-0.06,0.07,-0.08,-0.04,-0.04,0.02,-0.14,-0.56,0.03,0.28,0.08,0.04,0.25,0.03,#DIV/0!,0.21,0.45,0.09,0.01,-0.34,-0.06,0.13,0.05,0.23,0.03,,0.11
Grasses,G_Arrhenateru,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,119,0.3,-0.38,0.18,36.39,-0.2,-0.2,0.03,0,-0.12,0.03,-0.08,0.01,0,0.05,-0.93,-0.13,-0.07,0,0.02,-0.14,-0.05,#DIV/0!,0.26,0.44,0.12,0.01,-0.37,-0.07,0.11,0.04,0.24,0.03,,0.14
Grasses,G_Arrhenateru,Drought,-167.2854506,1.243513554,2.083941834,5.410042374,120,-0.62,-0.3,-0.54,19.48,-0.47,0.06,0.04,-0.08,-0.32,0.21,0.02,0.02,0,0.16,-0.84,-0.13,-0.15,0.34,0.36,-0.13,-0.06,#DIV/0!,0.34,0.27,0.07,0.01,-0.24,-0.04,0.07,0.03,0.15,0.02,,0.18
Grasses,G_Dactylis,Drought,-167.5512515,1.250891833,2.102402338,5.475335921,206,-0.22,-0.15,-0.2,18.67,-0.37,-0.25,0.48,-0.44,-0.03,-0.1,-0.2,0.03,0,-0.07,-0.53,0.22,0.16,0.07,-0.01,-0.03,-0.12,#DIV/0!,0.38,0.6,0.07,0,-0.18,-0.03,0.02,0.01,0.09,0.02,-0.03,0.22
Grasses,G_Dactylis,Drought,-167.5512515,1.250891833,2.102402338,5.475335921,207,-0.29,0.24,-0.15,30.53,-0.14,-0.04,0.07,-0.05,-0.13,0.11,0.01,0.1,-0.01,-0.04,-0.68,-0.32,-0.05,-0.07,-0.08,-0.02,-0.02,#DIV/0!,0.27,0.34,0.16,0.01,-0.27,-0.05,-0.07,-0.02,0.09,0.02,-1,0.16
Grasses,G_Dactylis,Drought,-167.5512515,1.250891833,2.102402338,5.475335921,208,-0.38,0.09,-0.28,7.38,-0.69,0.1,,,-0.22,0.07,0.25,0.08,-0.01,0,-0.74,0.35,-0.15,-0.06,-0.09,0.12,-0.14,#DIV/0!,0.16,0.1,0.14,0.01,-0.05,-0.01,-0.25,-0.07,-0.1,-0.02,-1,0.1
Grasses,G_Dactylis,Drought,-167.5512515,1.250891833,2.102402338,5.475335921,209,-0.54,-0.45,-0.53,22.82,-0.28,-0.18,0.09,-0.05,-0.01,-0.04,0,0.15,0.01,-0.18,-0.62,0.31,0.11,-0.02,0.02,0.12,-0.04,#DIV/0!,0.13,0.32,0.14,0.01,-0.23,-0.04,-0.07,-0.02,0.08,0.01,-1,0.08
Grasses,G_Dactylis,Drought,-167.5512515,1.250891833,2.102402338,5.475335921,210,0.58,0,0.52,58.57,0.18,-0.17,,,-0.07,0.03,-0.02,0.11,-0.01,-0.02,-0.74,0.02,0,-0.01,-0.01,0,-0.03,#DIV/0!,0.4,0.56,0.18,0.01,-0.14,-0.02,-0.24,-0.07,-0.06,-0.01,0.04,0.22
Grasses,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,36,-0.18,0.01,-0.12,27.42,-0.33,-0.09,0.16,-0.21,-0.09,0.06,-0.05,0.04,-0.01,-0.28,-0.9,-0.11,0,-0.02,0.02,-0.05,0,#DIV/0!,-0.07,0.01,-0.05,-0.01,-0.15,-0.02,0.11,0.04,0.08,0.01,,-0.03
Grasses,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,37,0.35,0.43,0.38,31.74,-0.26,-0.16,0.13,-0.44,-0.16,0.13,-0.1,-0.04,0,-0.3,-0.06,0.2,0.02,-0.01,-0.05,-0.07,0,#DIV/0!,-0.3,-0.16,-0.07,-0.01,-0.21,-0.03,0.22,0.07,0.17,0.03,,-0.15
Grasses,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,38,0.27,0.55,0.36,23.06,-0.4,-0.36,0.08,-0.1,0.1,-0.15,-0.34,-0.04,-0.04,-0.07,0.16,-0.06,0.28,0.02,-0.02,-0.06,-0.01,#DIV/0!,-0.68,-0.43,-0.14,-0.01,-0.12,-0.01,0.27,0.09,0.15,0.03,,-0.39
Grasses,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,39,0.18,0.35,0.21,27.81,-0.32,-0.5,0.02,0.02,0.41,-0.43,0.05,-0.04,-0.04,-0.22,0.07,-0.11,0,-0.02,-0.07,0.05,0.01,#DIV/0!,-0.85,-0.6,-0.09,-0.01,-0.18,-0.02,0.26,0.08,0.17,0.03,,-0.55
Grasses,G_F.brevipila,Drought,-167.7403367,1.256116584,2.11543501,5.521279888,40,,,,15.02,-0.57,-0.15,0.09,-0.11,-0.08,0.05,-0.17,-0.03,-0.04,-0.23,-0.36,-0.06,0.17,0.06,0.02,0.01,0,#DIV/0!,-0.02,0.12,-0.05,-0.01,-0.1,-0.01,0.09,0.04,0.04,0.01,1,-0.01
