PlantGroup,Specie,Tto,Drougth_tto,Sp,Pot,PotN,SoiltempC,RIIwateredShoot,RII_drought_Shoot,EC(us),Cl(mg/l),logNo3,NO3(mg/l),PO4(mg/l),SO4(mg/l),pH,sqrt_RootN,sqrt_RootC,log_rootN,log_RootC,Roots_N(g/Kg),Roots_C(g/Kg),belowC(g/kg),belowC-LeavesC,belowC/leavesC,log(rootCN),RootC/N,sqrt_leavesC,sqrt_leavesN,logLeavesN(g/kg),logLeavesC(g/kg),Leaves_N(g/kg),Leaves_C(g/kg),log(leavesCN),Leaves_C/N,Leaves_N(%),Leaves_C(%),sqrtSoilN,sqrtSoilC,logSoilN+3,logSoilC+5,SoilN(%),SoilC(%),log(soilC/N),SoilC/N,SoilN(g/Kg),SoilC(g/kg),WSA_001,Asin_sqrt_WSA001,sqrt_WSA,%WSA,SoilTemperat(C),logshootmass,ShootMass(mg)_POT,Max_Height(cm),logLDMC,logSLA,LDMC_(mg_g-1),SLA_(cm2_g-1),Flowers(#),Log_TotRootBio,sqrt_TotRootB,Tot_RootBio_POT(mg),sqrt_R:S,log_R:S+3,R_S_RATIO,Dryweight(gr)_RootSamp,DryWeight(mg)_RootSamp,Length(cm)_RootSamp,SurfArea(cm2)_RootSamp,AvgDiam(mm)_Modif_RootSamp,Asen_AvDiam,Sqrt_Avdiam,logAv_diam_RootSamp,%fineRoots_RootSamp,RootVolume(cm3)_RootSamp,Tips_RootSamp,logRTD,log(1/RTD)+10,1/RTD,sqrt_RTD,RTD (DryW/Vol(mg/cm-3)_RootSamp,SRL(length/dry(cm/mg)_RootSamp,sqrt_SRL,logSRL3,sqrt_SRSA,SRSA(cm2/mg),logSRSA+3,CP1_soilp_32%,CP1_soilp_45%,CP_1_soilP_40%,CP1_6roots_63%,CP1_8roots_52%,CP1_abov_36%,CP1_fertility_47%,CP1_fertility_37%,CP1_fastrootT59%,CP1_fastroot_nobiom_63%,CP1_aboveT,CP2_aboveT,CP1_RootAcquisT,CP2_RootAcquisT,CP1_fastgrowRootT,CP2_FastGrowRootT,CP1_soilP,CP2_SoilP,CP1_soilqual1,CP2_soilqual1,CP1_soilqual2,CP2_soilqual2,CP1_soilqual3,CP2_soilqual3,RDUO 0 log(shootmass)
Grasses,G_Anthoxanthum,Control,1,Anthoxantum,1m,1,20.73,,,87,11.5,2.08,8,1.2,13,6.56,2.12,16.92,1.5,5.66,4.49,286.24,293.53,-119.3,0.71,4.15,63.75,20.32,2.93,2.15,6.02,8.56,412.83,3.88,48.23,0.856,41.28,0.79,2.7,4.99,6.99,0.062,0.729,2.46,11.76,0.62,7.29,0.4,0.69,6.33,40.06,20.73,8.47,4783.1,290,5.39,5.58,219.95,265.93,0,8.35,64.88,4209.46,0.94,1.36,0.88,0.06,62.6,2512.11,83.13,0.1,0.11,0.32,1.13,99.78,0.22,10522,5.66,4.34,0.003,16.91,285.85,40.13,6.33,3.76,1.15,1.33,1.47,-0.25,1.408901647,1.39,2.81,3,0.16,-0.39,-0.56,2.38,2.27,-0.42,1.08,3.14,0.02,3.3,-0.21,1.16,-0.36,-0.3,1.1,-0.28,-0.92,0.89,-0.03,0.14
Grasses,G_Anthoxanthum,Control,1,Anthoxantum,2m,2,21.18,,,80,8,0.92,2.5,1,27.8,6.7,1.98,17.41,1.36,5.71,3.91,303.22,310.3,-99.52,0.76,4.35,77.55,20.24,2.71,2,6.02,7.37,409.82,4.02,55.61,0.737,40.98,0.81,2.66,4.96,6.96,0.066,0.708,2.37,10.73,0.66,7.08,0.76,1.06,8.72,76,21.18,8.43,4591.9,405,5.55,5.55,257.89,257.23,0,8.25,61.74,3812.18,0.91,1.34,0.83,0.08,82.5,2658.27,104.25,0.13,0.13,0.35,1.14,99.81,0.33,10132,5.54,4.46,0.004,15.93,253.85,32.22,5.68,3.56,1.12,1.26,1.45,-0.25,1.408901647,1.39,2.81,3,0.16,-0.39,-0.56,2.38,2.27,-0.57,0.98,2.77,-0.04,2.96,-0.17,1.8,-0.43,-0.42,1.38,-0.34,0.07,-0.37,-0.25,0.12
Grasses,G_Anthoxanthum,Control,1,Anthoxantum,3m,3,21.04,,,70,8,1.19,3.3,1.1,13.2,6.8,1.91,20.58,1.29,6.05,3.64,423.63,430.73,2.9,1.01,4.76,116.38,20.68,2.88,2.12,6.06,8.32,427.83,3.94,51.42,0.832,42.78,0.8,2.66,4.96,6.96,0.064,0.71,2.41,11.09,0.64,7.1,0.41,0.7,6.44,41.49,21.04,8.41,4501.7,355,5.49,6.07,241.55,433.8,0,8.9,85.44,7300.8,1.27,1.53,1.62,0.09,88.5,3170,117.35,0.12,0.12,0.34,1.14,99.82,0.35,9660,5.54,4.46,0.004,15.99,255.78,35.82,5.98,3.66,1.15,1.33,1.46,-0.25,1.408901647,1.39,2.81,3,0.16,-0.39,-0.56,2.38,2.27,0.52,1.84,3.21,0.97,3.23,0.2,-0.12,-0.35,-0.4,0.14,-0.39,-0.03,-0.21,-0.15,0.08
Grasses,G_Anthoxanthum,Control,1,Anthoxantum,4m,4,20.45,,,82,10.6,2.01,7.5,1,12.9,6.68,3.09,24.51,2.25,6.4,9.53,600.67,608.71,211.62,1.53,4.14,63.03,19.93,3.46,2.48,5.98,11.98,397.09,3.5,33.15,1.198,39.71,0.85,2.84,5.08,7.08,0.073,0.804,2.4,11.01,0.73,8.04,0.62,0.9,7.86,61.76,20.45,8.37,4294.8,350,5.4,5.7,220.39,298.92,0,7.57,44.01,1936.567,0.67,1.24,0.45,0.05,52.8,1447.6,62.97,0.14,0.14,0.37,1.14,99.87,0.22,5093,5.49,4.51,0.004,15.56,242.2,27.42,5.24,3.42,1.09,1.19,1.43,-0.25,1.408901647,1.39,2.81,3,0.16,-0.39,-0.56,2.38,2.27,-0.12,0.98,2.3,-0.76,1.69,-1.86,0.87,0.3,0.3,1.83,0.36,-0.92,1.06,-0.08,0.07
Grasses,G_Anthoxanthum,Control,1,Anthoxantum,5m,5,20.95,,,87,10.6,1.53,4.6,1,16.1,6.7,2.47,19.07,1.81,5.9,6.09,363.7,370.9,-17.53,0.95,4.09,59.72,19.71,3.39,2.44,5.96,11.47,388.43,3.52,33.86,1.147,38.84,0.82,2.68,4.97,6.97,0.067,0.72,2.37,10.75,0.67,7.2,0.48,0.76,6.92,47.88,20.95,8.36,4285.4,270,5.45,5.6,232.83,271.66,0,8.15,58.8,3457.88,0.9,1.34,0.81,0.09,92.2,2947.8,107.24,0.12,0.12,0.34,1.14,99.81,0.31,9892,5.7,4.3,0.003,17.25,297.42,31.97,5.65,3.55,1.08,1.16,1.43,-0.25,1.408901647,1.39,2.81,3,0.16,-0.39,-0.56,2.38,2.27,-0.37,0.84,2.63,-0.19,2.62,-0.56,1.34,-0.25,-0.23,0.65,-0.21,-0.36,0.15,-0.23,0.07
Grasses,G_Anthoxanthum,Drought,2,Anthoxantum,6m,6,21.77,-0.08,0.08,72,8.3,-0.22,0.8,0.8,14,6.86,2.17,19.16,1.55,5.91,4.72,367.24,375.13,-47.13,0.89,4.35,77.81,20.55,2.24,1.62,6.05,5.04,422.26,4.43,83.78,0.504,42.23,0.82,2.81,5.07,7.07,0.068,0.789,2.45,11.6,0.68,7.89,0.22,0.49,4.67,21.81,21.77,8.58,5299.2,370,5.54,5.33,254.66,207.45,0,7.92,52.58,2765,0.72,1.26,0.52,0.19,193.3,4872.55,328.17,0.21,0.22,0.46,1.17,99.68,1.76,24725,4.7,5.3,0.009,10.48,109.89,25.21,5.02,3.34,1.3,1.7,1.55,-0.29,-1.327596341,-1.32,2.97,3.1,-1.47,-0.21,-0.17,2.73,2.82,-0.92,1.03,2.66,-0.19,2.68,-0.58,0.1,0.04,-0.01,-1.28,-0.05,0.3,-0.46,-0.28,0.17
Grasses,G_Anthoxanthum,Drought,2,Anthoxantum,7m,7,21.59,0.04,-0.04,58,6.1,0.41,1.5,1.1,11.4,6.76,2.01,20.95,1.4,6.08,4.04,438.71,446.01,88.3,1.25,4.69,108.59,18.91,2.15,1.53,5.88,4.62,357.71,4.35,77.43,0.462,35.77,0.84,2.7,4.99,6.99,0.07,0.73,2.34,10.43,0.7,7.3,0.78,1.09,8.86,78.47,21.59,8.22,3711.1,320,5.71,5.12,303.07,167.65,0,8.72,78.32,6133.887,1.29,1.54,1.65,0.09,94,2495.22,152.51,0.2,0.2,0.44,1.16,99.82,0.74,7847,4.84,5.16,0.008,11.26,126.69,26.55,5.15,3.39,1.27,1.62,1.53,-0.29,-1.327596341,-1.32,2.97,3.1,-1.47,-0.21,-0.17,2.73,2.82,-1.64,0.11,2.95,0.89,2.94,0.07,-0.96,-0.15,-0.23,1.29,-0.16,0.36,-0.56,-0.12,-0.17
Grasses,G_Anthoxanthum,Drought,2,Anthoxantum,8m,8,21.49,0.02,-0.02,60.5,6.83,-0.11,0.9,1.05,10.45,6.8,2.06,16.76,1.44,5.64,4.24,280.94,288.21,5.15,1.02,4.19,66.26,16.82,1.92,1.31,5.65,3.69,283.06,4.34,76.71,0.369,28.31,0.81,2.7,4.98,6.98,0.065,0.727,2.41,11.18,0.65,7.27,0.33,0.61,5.71,32.65,21.49,8.34,4181.6,285,5.76,5.35,316.64,209.89,0,8.15,58.98,3478.067,0.91,1.34,0.83,0.07,73,1801.33,91.06,0.16,0.16,0.4,1.15,99.88,0.37,6315,5.3,4.7,0.005,14.12,199.45,24.68,4.97,3.32,1.12,1.25,1.45,-0.29,-1.327596341,-1.32,2.97,3.1,-1.47,-0.21,-0.17,2.73,2.82,-2.28,0.38,2.36,-0.04,2.61,-0.03,-0.94,-0.28,-0.35,-0.74,-0.37,0.44,-0.69,-0.17,0.03
Grasses,G_Anthoxanthum,Drought,2,Anthoxantum,9m,9,21.33,0.04,-0.04,51,5.7,-2.3,0.1,1,7.2,6.63,4.48,19.15,3,5.9,20.06,366.82,374.59,-39.83,0.9,2.91,18.29,20.36,2.24,1.61,6.03,5,414.42,4.42,82.88,0.5,41.44,0.84,2.79,5.05,7.05,0.07,0.777,2.41,11.1,0.7,7.77,0.34,0.62,5.82,33.92,21.34,8.34,4175.6,340,5.79,5.3,328.33,200.74,0,6.85,30.75,945.48,0.47,1.17,0.22,0.04,44.7,1392.17,55.56,0.13,0.13,0.36,1.14,99.8,0.18,5278,5.54,4.46,0.004,15.94,253.98,31.14,5.58,3.53,1.11,1.24,1.45,-0.29,-1.327596341,-1.32,2.97,3.1,-1.47,-0.21,-0.17,2.73,2.82,-0.94,0.58,2.38,-1.39,1.62,-2.39,-1.76,0,-0.02,-0.88,-0.04,0.59,-0.71,-0.12,0.03
Grasses,G_Anthoxanthum,Drought,2,Anthoxantum,10m,10,21.6,0.1,-0.1,61,7.2,0.18,1.2,1.3,9.2,6.8,3.71,20.13,2.62,6,13.8,405.02,413.15,11.91,1.03,3.38,29.35,20.03,2.24,1.61,5.99,5.01,401.24,4.38,80.09,0.501,40.12,0.83,2.85,5.1,7.1,0.069,0.813,2.47,11.78,0.69,8.13,0.21,0.47,4.56,20.81,21.6,8.37,4325.1,290,5.65,5.26,285.71,193.02,0,8.26,62.3,3881.78,0.95,1.36,0.9,0.07,66,2182.15,85.16,0.12,0.12,0.35,1.14,99.86,0.26,7001,5.52,4.48,0.004,15.81,250,33.06,5.75,3.59,1.14,1.29,1.46,-0.29,-1.327596341,-1.32,2.97,3.1,-1.47,-0.21,-0.17,2.73,2.82,-1.12,0.57,2.83,-0.02,2.36,-1.1,-1.01,0.16,0.1,-1.12,0.06,0.61,-0.43,0.22,0.05
