PotN,rlenght0.1cm
1,2043.1018
2,1884.4621
3,2446.4007
4,1004.2098
5,2312.7891
6,2212.8857
7,920.0777
8,1000.2325
9,972.5019
10,1608.4481
11,66.9803
12,201.6168
13,193.0737
14,675.351
15,17.83
16,270.6744
17,82.1308
18,183.7064
19,145.5114
20,154.9631
21,974.1649
22,1224.1243
23,1574.266
24,359.5544
25,456.514
26,650.2478
27,199.5485
28,225.3388
29,212.4071
30,283.5894
31,1043.2081
32,923.7095
33,2083.3241
35,1601.0551
36,949.4037
37,720.8702
38,649.2598
39,90.4337
40,826.7074
41,242.8804
42,37.4732
43,380.9304
44,77.2367
45,212.11
46,76.9937
47,136.5684
48,98.2191
49,52.6133
50,91.1206
61,38.848
62,656.0881
63,85.2537
64,76.6905
65,103.6634
66,347.861
67,35.6197
68,6.3359
69,88.1539
70,134.7044
71,349.5098
72,571.5414
73,21.815
74,802.9955
75,835.4631
76,278.4741
77,741.7738
78,341.1127
79,543.2345
80,185.0176
81,208.845
82,51.2443
83,37.7454
84,259.5297
85,180.2765
86,165.5916
87,183.1936
88,131.842
89,209.9561
90,159.1475
91,3.5556
92,625.6799
93,689.6696
94,2.4548
95,17.5917
96,11.3814
97,200.8134
98,146.1469
99,2.473
100,210.0233
101,1828.3646
102,897.5092
103,1906.6343
104,1059.6881
105,1245.3379
106,2058.4629
107,943.926
108,1717.9643
109,1645.7388
110,1632.1098
111,309.5235
112,453.3457
113,924.7937
114,961.1224
115,330.7934
116,339.1977
117,499.9373
118,456.0729
119,410.9696
120,427.3355
131,15.5645
132,5.3193
133,4.2642
134,19.4726
135,7.8994
136,8.9883
137,26.2794
138,5.2604
139,10.1352
140,2.2651
141,70.7202
142,94.6525
143,667.3115
144,27.4792
145,259.1586
146,362.6241
147,117.2268
148,570.11
149,205.3266
150,81.4124
151,2291.4194
152,2350.2575
153,2637.1075
154,2400.4121
155,3349.3774
156,1889.5293
157,1471.4254
158,1043.7598
159,1003.2626
160,1227.3467
161,956.9831
162,33.8388
163,169.1444
164,258.311
165,334.88
166,11.8451
167,707.7871
168,116.2729
169,20.9684
170,616.3488
171,2927.9778
172,3506.0412
173,4871.1605
174,3323.4364
175,3354.0853
176,2249.8229
177,2627.2304
178,3008.7492
179,2250.9581
180,1665.0513
181,207.182
182,160.4713
183,195.2216
184,80.8221
185,423.2404
186,522.4074
187,490.9678
189,169.5197
190,653.3233
191,35.5116
192,87.946
193,106.3519
194,94.5835
195,138.8531
196,81.5662
197,15.6413
198,228.282
199,39.7497
200,177.8633
201,1929.1075
202,2848.988
203,3081.1876
204,1313.3068
205,1818.4435
206,1700.3507
207,1817.927
208,1222.3627
209,2199.1351
210,1965.1176
211,106.8334
212,1114.0961
213,1519.1841
214,1617.1587
215,112.3902
216,19.1103
217,65.1187
218,101.1652
219,32.7799
220,37.5662
221,142.5389
222,67.4174
223,149.3009
224,19.0055
225,124.6352
226,30.6795
227,43.6629
228,96.8539
229,10.9885
230,85.0521
231,1780.7562
233,1797.1631
234,2079.6251
235,1309.6849
236,1035.9462
237,697.6055
238,504.217
239,1063.2079
240,1021.402
241,222.5319
242,18.8475
243,250.0871
244,147.9293
245,283.2283
247,139.1967
248,120.1819
249,194.859
250,293.688
251,50.45
252,174.6049
253,18.5731
254,7.6386
255,1.0002
256,0.7304
257,20.8771
258,10.4104
259,2.0063
260,16.8558
